Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
dForce,$0.040617094718,-0.2%,-0.5%,-11.3%,n/a,"$17,334,912"
Starcoin,$0.060553539138,1.6%,22.0%,61.4%,n/a,"$17,327,465"
Taboo,$0.001758252411,-0.1%,-6.7%,-5.2%,n/a,"$17,217,635"
Opulous,$0.154482,10.3%,28.6%,37.9%,n/a,"$17,209,355"
Tokenlon,$0.670647,1.6%,2.6%,-7.1%,n/a,"$17,050,628"
TOR,$0.995363,-0.3%,0.1%,-0.1%,n/a,"$16,997,126"
Alkimi,$0.168281,-1.5%,-4.2%,-39.0%,n/a,"$16,918,636"
MMFinance (Polygon),$1.07,-1.1%,23.2%,,n/a,"$16,912,736"
AirSwap,$0.097997002980,0.4%,1.0%,-5.2%,n/a,"$16,788,179"
Tectonic,$0.000000172646,0.1%,-0.8%,3.9%,n/a,"$16,752,060"
New BitShares,$0.005327485015,-0.5%,0.1%,-2.6%,n/a,"$16,557,288"
Kleros,$0.031641141021,-0.1%,1.6%,-11.6%,n/a,"$16,555,559"
Cryptostone,$0.001730518144,-0.6%,1.9%,-38.6%,n/a,"$16,417,977"
DexTools,$0.154380,-0.1%,-2.6%,-10.2%,n/a,"$16,379,015"
Vectorspace AI,$0.430289,0.7%,-0.0%,-9.7%,n/a,"$16,350,456"
MovieBloc,$0.004621913529,-0.2%,0.4%,-6.2%,n/a,"$16,324,997"
Ultiledger,$0.008553515503,3.5%,-8.4%,0.2%,n/a,"$16,324,012"
Dexlab,$0.099047216784,6.8%,20.4%,-7.3%,n/a,"$16,270,750"
hi Dollar,$0.053207169679,-0.6%,0.3%,4.0%,n/a,"$16,238,615"
Badger Interest Bearing Bitcoin,"$24,818.16",?,?,?,n/a,"$16,194,845"
Advertise Coin,$0.358486,-0.2%,-0.1%,0.0%,n/a,"$16,131,865"
Mancium,$1.59,-2.1%,5.9%,113.7%,n/a,"$16,110,212"
Jade Protocol,$17.04,-0.0%,-2.1%,-8.9%,n/a,"$16,106,968"
ZKSpace,$0.071582192908,-0.6%,-2.6%,-22.6%,n/a,"$16,048,853"
Star Atlas,$0.007328293895,0.2%,-0.4%,-7.4%,n/a,"$15,824,506"
Bostrom,$0.000000042075,0.2%,3.4%,3.3%,n/a,"$15,789,195"
Sylo,$0.003993651579,0.3%,-3.1%,-1.7%,n/a,"$15,760,190"
veCRV-DAO yVault,$1.03,0.1%,-1.4%,-2.1%,n/a,"$15,690,967"
ApeSwap,$0.108047,-0.6%,-6.2%,-5.8%,n/a,"$15,591,920"
Rai Reflex Index,$2.92,-0.1%,0.2%,-0.4%,n/a,"$15,580,493"
xFund,"$1,759.99",0.8%,2.2%,87.4%,n/a,"$15,541,566"
Mithril,$0.024942492527,0.2%,-1.2%,-12.0%,n/a,"$15,430,850"
Nimiq,$0.001590868650,-0.3%,-0.2%,-4.5%,n/a,"$15,420,582"
DeFiAI,$0.007850646307,-1.7%,-3.2%,3.9%,n/a,"$15,420,248"
Polkadex,$2.04,-1.2%,-2.0%,5.0%,n/a,"$15,250,126"
Gifto,$0.022938012192,-0.1%,0.6%,-8.2%,n/a,"$15,162,611"
Vires Finance,$26.00,-1.2%,0.1%,-6.6%,n/a,"$15,130,818"
Metronome,$1.21,0.3%,0.4%,2.1%,n/a,"$15,121,855"
Adappter,$0.016481801944,-0.7%,-2.7%,-12.1%,n/a,"$15,088,964"
Solend,$0.666332,-0.6%,-0.8%,-4.0%,n/a,"$15,016,026"
Index Cooperative,$3.33,1.6%,4.1%,10.1%,n/a,"$15,009,335"
YIELD App,$0.082284866315,0.8%,1.1%,-0.1%,n/a,"$14,964,587"
JET,$0.094407831514,-0.1%,-0.5%,-11.2%,n/a,"$14,776,768"
Atlas USV,$142.94,1.4%,2.7%,-6.0%,n/a,"$14,630,019"
SX Network,$0.183156,0.3%,3.3%,-11.2%,n/a,"$14,577,602"
BTU Protocol,$0.181825,-0.2%,0.0%,-0.1%,n/a,"$14,544,730"
pNetwork,$0.279503,-0.0%,-3.4%,-19.1%,n/a,"$14,521,212"
Oxen,$0.243376,-0.5%,0.5%,0.5%,n/a,"$14,500,774"
Walken,$0.080378799123,-0.1%,-3.7%,-13.4%,n/a,"$14,438,560"
TOKPIE,$0.181559,-0.0%,2.9%,20.6%,n/a,"$14,375,358"
VIDT Datalink,$0.310607,-0.5%,-1.3%,-9.2%,n/a,"$14,365,502"
Darwinia Network,$0.008442444462,0.6%,0.4%,1.0%,n/a,"$14,334,995"
WHALE,$1.64,-0.3%,-0.7%,-6.7%,n/a,"$14,319,737"
Arcblock,$0.143992,-2.2%,-3.4%,-20.9%,n/a,"$14,302,329"
Cream,$18.66,-0.2%,-2.7%,-10.9%,n/a,"$14,299,586"
Wirex,$0.006145478608,-0.3%,-2.5%,-11.3%,n/a,"$14,142,821"
Hiblocks,$0.001300913868,-0.7%,-10.1%,-2.2%,n/a,"$14,135,380"
CoW Protocol,$0.130076,-0.4%,0.8%,-11.3%,n/a,"$14,037,899"
OpenDAO,$0.000000351379,0.0%,-1.2%,2.0%,n/a,"$14,019,896"
Popcorn,$0.666665,-0.1%,-2.6%,-10.8%,n/a,"$13,944,396"
Apollo,$0.000954791440,1.0%,15.6%,-11.0%,n/a,"$13,944,121"
Rich,$0.033024981831,-0.7%,3.3%,6.1%,n/a,"$13,855,941"
NMKR,$0.007316991323,0.1%,-2.9%,-11.2%,n/a,"$13,801,537"
Revolution Populi,$0.011479976372,-0.5%,-1.0%,-6.2%,n/a,"$13,785,125"
BNS Token [OLD],$0.032954282560,3957.2%,4319.4%,4.0%,n/a,"$13,750,244"
Obyte,$16.73,-0.1%,-0.1%,1.0%,n/a,"$13,679,502"
Global Coin Research,$1.36,0.1%,-15.0%,-15.3%,n/a,"$13,627,578"
Voxies,$0.375116,0.4%,-3.4%,-13.6%,n/a,"$13,532,106"
Argentine Football Association Fan Token,$4.83,0.5%,4.0%,32.3%,n/a,"$13,411,344"
UniLend Finance,$0.215171,0.5%,-1.1%,-9.7%,n/a,"$13,385,237"
MAPS,$0.178008,0.0%,-0.9%,-7.1%,n/a,"$13,369,333"
FLEX Coin,$0.135419,-0.2%,-0.2%,-20.3%,n/a,"$13,358,084"
Crypterium,$0.157250,-0.5%,-0.4%,-5.2%,n/a,"$13,322,504"
Avalaunch,$0.482892,-0.9%,-3.6%,-19.1%,n/a,"$13,321,816"
LBRY Credits,$0.020280525937,2.7%,1.2%,-4.1%,n/a,"$13,309,308"
Civilization,$0.044548784095,0.0%,-3.8%,-11.4%,n/a,"$13,288,626"
BSCPAD,$0.166431,-0.8%,-9.1%,-11.3%,n/a,"$13,223,838"
Altura,$0.021398044957,-1.6%,-6.4%,-31.7%,n/a,"$13,219,987"
Cryptex Finance,$3.92,-0.9%,-2.5%,-5.8%,n/a,"$13,213,314"
Interest Compounding ETH Index,"$1,735.37",0.0%,2.2%,3.4%,n/a,"$13,194,049"
SwapXI,$0.627446,?,?,?,n/a,"$13,176,359"
Dash Diamond,$0.060952434826,-5.1%,-3.8%,-35.2%,n/a,"$13,114,888"
EDEN,$0.116346,-0.3%,-3.2%,-9.4%,n/a,"$13,087,029"
ScPrime,$0.258751,3.1%,2.5%,-2.6%,n/a,"$13,071,459"
Saddle Finance,$0.036094559440,14.8%,0.7%,-24.4%,n/a,"$12,996,035"
Sovryn,$0.574377,1.2%,1.5%,-1.0%,n/a,"$12,917,317"
StorX,$0.041469270568,-0.0%,10.3%,11.7%,n/a,"$12,811,534"
TE-FOOD,$0.022157818895,1.4%,-1.4%,-20.1%,n/a,"$12,809,531"
Silent Notary,$0.000080133958,-0.8%,9.6%,3.3%,n/a,"$12,785,745"
Town Star,$0.033473830407,-0.4%,4.7%,38.6%,n/a,"$12,767,211"
NAGA,$0.163043,0.8%,0.1%,-26.2%,n/a,"$12,670,505"
OG Fan Token,$8.49,19.6%,48.5%,32.7%,n/a,"$12,660,069"
BEPRO Network,$0.001416505270,-0.5%,1.4%,-4.6%,n/a,"$12,626,766"
SWFTCOIN,$0.001921877699,-1.2%,-5.8%,-10.3%,n/a,"$12,592,179"
Rhino.fi,$1.04,-0.6%,-2.9%,-4.4%,n/a,"$12,574,037"
Gamium,$0.001427300211,2.1%,3.8%,-0.2%,n/a,"$12,537,579"
ForTube,$0.022071960460,-0.1%,1.5%,-9.9%,n/a,"$12,440,502"
TrustPad,$0.139162,-0.6%,6.0%,17.0%,n/a,"$12,413,436"
Thales,$0.536024,-0.1%,-1.2%,-5.4%,n/a,"$12,392,636"
Aventus,$1.45,0.7%,1.2%,-4.7%,n/a,"$12,390,494"
VeraOne,$57.07,-0.1%,3.5%,-7.2%,n/a,"$12,293,813"
Shyft Network,$0.025707322209,1.7%,0.9%,3.0%,n/a,"$12,281,551"
Carbon Protocol,$0.007090335469,-0.1%,1.2%,2.9%,n/a,"$12,237,871"
VEED,$0.002184919547,-1.5%,2.4%,1.3%,n/a,"$12,229,116"
Media Licensing,$0.130828,-4.1%,2.1%,-25.3%,n/a,"$12,214,317"
Numbers Protocol,$0.065299944359,0.0%,0.7%,20.5%,n/a,"$12,159,980"
Peercoin,$0.432917,-1.4%,-0.2%,4.2%,n/a,"$12,117,800"
Jupiter,$0.012097040943,-0.7%,-0.3%,-8.2%,n/a,"$12,097,451"
Neblio,$0.620432,-0.8%,-3.7%,-24.3%,n/a,"$12,036,227"
Quantum Resistant Ledger,$0.155888,-4.0%,7.7%,-1.1%,n/a,"$12,004,752"
Hotbit,$0.015495260162,,0.7%,-23.9%,n/a,"$11,995,702"
Rainicorn,$0.024431785308,-0.5%,-2.4%,-4.1%,n/a,"$11,948,026"
Dego Finance,$2.19,0.0%,0.7%,-11.7%,n/a,"$11,873,770"
Undead Blocks,$0.784153,3.1%,-12.3%,-4.3%,n/a,"$11,855,057"
XDEFI,$0.172927,-0.0%,-0.3%,0.7%,n/a,"$11,805,511"
Krypton DAO,$0.312430,62.6%,-1.2%,-10.5%,n/a,"$11,755,391"
Ternoa,$0.014989244436,-0.3%,-4.1%,-7.8%,n/a,"$11,739,884"
Solanium,$0.119978,-1.1%,1.4%,9.4%,n/a,"$11,719,347"
Frax Price Index Share,$1.10,-0.5%,-2.2%,-12.1%,n/a,"$11,667,072"
Dollars,$2.41,0.1%,2.8%,-0.7%,n/a,"$11,632,107"
PIVX,$0.166409,-0.1%,0.9%,-1.8%,n/a,"$11,627,687"
PowerPool Concentrated Voting Power,$0.384338,-0.4%,0.2%,-12.8%,n/a,"$11,608,828"
Crust Network,$0.870695,-0.6%,-4.6%,-3.6%,n/a,"$11,527,307"
Lossless,$0.200352,-0.2%,-2.5%,-16.7%,n/a,"$11,517,484"
GoChain,$0.009693592124,-0.6%,-2.0%,-5.7%,n/a,"$11,507,709"
Vertcoin,$0.177178,-1.3%,-4.0%,11.2%,n/a,"$11,504,983"
Ariva,$0.000158223486,-0.7%,2.0%,0.2%,n/a,"$11,484,413"
DeRace,$0.313558,0.4%,-0.0%,-19.4%,n/a,"$11,470,793"
SUKU,$0.096109644098,0.2%,-1.0%,-10.0%,n/a,"$11,456,551"
ELYSIA,$0.003591082845,1.6%,-2.8%,-24.4%,n/a,"$11,453,009"
Delta Exchange,$0.130617,0.1%,-0.4%,-4.0%,n/a,"$11,407,170"
DeFi Land,$0.005333925757,-0.3%,2.4%,0.5%,n/a,"$11,389,316"
PointPay,$0.025281263784,-0.2%,-1.5%,-17.6%,n/a,"$11,385,508"
Tomb Shares,$291.04,-0.0%,-2.1%,-33.9%,n/a,"$11,351,929"
PolkaBridge,$0.173474,-1.2%,10.1%,74.7%,n/a,"$11,320,277"
HEdpAY,$0.169725,-0.1%,2.0%,27.5%,n/a,"$11,266,949"
REVV,$0.019892484829,-0.1%,-2.3%,-4.9%,n/a,"$11,197,263"
Sandclock,$3.83,-0.5%,0.7%,-16.0%,n/a,"$11,180,502"
The Doge NFT,$0.001293617454,0.4%,3.7%,4.9%,n/a,"$11,167,040"
Unisocks,"$37,059.56",0.1%,8.4%,-2.4%,n/a,"$11,138,234"
Counterparty,$4.16,-1.6%,-8.2%,-6.9%,n/a,"$11,110,812"
Carbon Credit,$0.598368,-0.2%,0.8%,-0.7%,n/a,"$11,110,199"
Inter Milan Fan Token,$3.70,1.1%,6.0%,5.4%,n/a,"$11,105,570"
Peony Coin,$0.034607425065,-2.3%,-2.1%,-35.3%,n/a,"$11,091,786"
Oxygen,$0.054747836284,-0.3%,0.2%,-4.1%,n/a,"$11,083,469"
Muse DAO,$10.84,-8.1%,19.2%,0.2%,n/a,"$11,064,809"
Rubic,$0.099745701517,0.2%,1.8%,-14.5%,n/a,"$11,064,286"
sEUR,$1.02,-0.3%,-0.6%,0.7%,n/a,"$11,050,039"
FOAM,$0.031017590640,,0.8%,-1.9%,n/a,"$11,022,564"
Sentinel,$0.001011116675,-0.0%,4.2%,7.9%,n/a,"$11,020,214"
Neos Credits,$0.269264,-0.4%,-6.5%,2.9%,n/a,"$10,984,922"
UniCrypt,$302.38,-1.3%,-0.5%,-3.5%,n/a,"$10,944,414"
Smart Valor,$0.401076,2.7%,-0.1%,1.1%,n/a,"$10,933,766"
Impossible Finance Launchpad,$0.184629,-0.1%,-0.6%,-6.0%,n/a,"$10,931,718"
Portugal National Team Fan Token,$5.40,-0.2%,9.6%,82.2%,n/a,"$10,880,665"
Swash,$0.029396602349,0.3%,-0.4%,29.6%,n/a,"$10,877,169"
Sifchain,$0.005595394172,0.3%,0.2%,-14.7%,n/a,"$10,823,425"
AS Roma Fan Token,$5.00,6.5%,26.9%,22.9%,n/a,"$10,812,059"
SideShift,$0.115436,-0.3%,0.4%,-3.2%,n/a,"$10,654,224"
GameZone,$0.025954061583,-0.7%,-1.9%,0.1%,n/a,"$10,636,470"
GamerCoin,$0.025160909427,-0.8%,2.2%,0.1%,n/a,"$10,602,998"
Edgeware,$0.001496888916,-0.1%,3.8%,-6.7%,n/a,"$10,416,513"
Chainge Finance,$0.049242567915,0.3%,1.3%,-15.5%,n/a,"$10,404,781"
BoringDAO,$0.010265176453,0.1%,0.5%,-5.1%,n/a,"$10,378,073"
cLINK,$0.163635,0.0%,0.6%,-10.3%,n/a,"$10,366,178"
THORChain (ERC20),$2.27,-1.1%,-3.1%,-17.0%,n/a,"$10,362,836"
Cellframe,$0.357083,-0.2%,-3.8%,-27.7%,n/a,"$10,343,225"
Bridge$,$0.146509,?,?,?,n/a,"$10,334,842"
OpenOcean,$0.035445527072,-0.6%,-1.9%,-6.5%,n/a,"$10,329,350"
RSS3,$0.111423,-0.5%,6.8%,-14.7%,n/a,"$10,281,519"
Invictus,$38.03,?,?,?,n/a,"$10,266,737"
Chain Games,$0.036382736088,-0.8%,-2.9%,-13.8%,n/a,"$10,250,712"
FlatQube,$9.44,-1.3%,-2.9%,-18.4%,n/a,"$10,240,758"
Star Atlas DAO,$0.472849,-2.7%,-3.1%,-20.4%,n/a,"$10,232,228"
Reddcoin,$0.000328863321,0.2%,-1.2%,-5.2%,n/a,"$10,229,089"
Aurox,$22.48,-0.8%,-1.5%,-13.8%,n/a,"$10,225,526"
Z7DAO,$0.120337,-0.2%,3.5%,41.1%,n/a,"$10,221,605"
PKT,$0.002842466934,-1.9%,-3.9%,80.7%,n/a,"$10,211,714"
Silo Finance,$0.065461823150,1.7%,7.6%,42.4%,n/a,"$10,210,608"
Arsenal Fan Token,$2.24,2.1%,8.3%,15.4%,n/a,"$10,190,148"
Epic Cash,$0.688005,-0.6%,-7.6%,-12.5%,n/a,"$10,172,633"
ParagonsDAO,$0.081076084271,-0.8%,4.2%,15.5%,n/a,"$10,130,220"
Vivid Labs,$0.061147530058,0.1%,0.7%,-5.6%,n/a,"$10,113,807"
Panther Protocol,$0.051309136028,1.1%,-1.3%,-17.9%,n/a,"$10,109,639"
Unizen,$0.181333,-6.5%,18.1%,-21.2%,n/a,"$10,080,106"
BUX,$0.154913,-1.0%,1.1%,16.1%,n/a,"$10,062,932"
Step Finance,$0.041085448337,0.2%,-0.3%,0.6%,n/a,"$10,031,452"
AC Milan Fan Token,$5.06,1.0%,22.1%,24.8%,n/a,"$10,027,118"
Arianee,$0.371484,0.1%,5.4%,-0.8%,n/a,"$9,936,185"
Hacken HAI,$0.020060024972,-0.1%,-1.5%,0.5%,n/a,"$9,929,996"
QASH,$0.012158312607,-13.3%,65.3%,-74.4%,n/a,"$9,914,418"
Kripto,$0.001570102906,-17.1%,-0.5%,84.5%,n/a,"$9,829,879"
TiFi,$0.000000106030,-7.7%,-17.0%,-52.5%,n/a,"$9,827,574"
Premia,$0.923260,-0.4%,-3.5%,-24.9%,n/a,"$9,806,436"
Revolt 2 Earn,$0.000000160895,1.3%,1.6%,-33.3%,n/a,"$9,798,670"
Mysterium,$0.301353,-0.0%,0.1%,-16.7%,n/a,"$9,778,043"
Birake,$0.088807865924,-0.3%,0.1%,-0.3%,n/a,"$9,755,062"
Validity,$2.09,-2.0%,4.0%,1.7%,n/a,"$9,725,945"
Callisto Network,$0.003021865688,0.3%,1.0%,10.2%,n/a,"$9,703,715"
Market Making Pro,$0.105001,-1.9%,16.2%,16.3%,n/a,"$9,699,133"
Scallop,$0.242290,1.5%,-1.5%,-13.7%,n/a,"$9,644,340"
BreederDAO,$0.119766,-0.3%,1.2%,-5.1%,n/a,"$9,614,694"
Socean Staked Sol,$43.66,-0.6%,-1.1%,-2.0%,n/a,"$9,576,562"
Dfyn Network,$0.068989898690,-0.6%,-0.2%,26.7%,n/a,"$9,574,148"
Mimo Governance,$0.019945915980,0.0%,-2.6%,-3.5%,n/a,"$9,559,973"
Battle World,$0.216214,2.0%,-2.9%,-26.1%,n/a,"$9,493,419"
Reimagined Finance,$0.009470715994,0.1%,4.4%,-22.6%,n/a,"$9,479,480"
Wasder,$0.027379736614,-0.7%,18.7%,19.7%,n/a,"$9,471,480"
Affyn,$0.046778272245,1.4%,-1.2%,-22.8%,n/a,"$9,432,459"
Galatasaray Fan Token,$2.65,1.7%,4.2%,-1.2%,n/a,"$9,419,769"
Enjinstarter,$0.003508914096,-2.1%,6.5%,-1.9%,n/a,"$9,399,231"
Era Swap,$0.006246083933,-0.2%,1.1%,-3.4%,n/a,"$9,393,575"
WaultSwap,$0.001244320982,-0.1%,9817.7%,10344.5%,n/a,"$9,360,211"
Troy,$0.004883597164,-1.9%,3.9%,-7.6%,n/a,"$9,310,061"
Position,$0.152889,-1.0%,-2.0%,-1.5%,n/a,"$9,302,328"
OccamFi,$0.375467,-0.1%,5.6%,-4.3%,n/a,"$9,293,173"
Cosplay Token,$0.025896135629,1.3%,0.6%,-14.6%,n/a,"$9,292,996"
Cirus,$0.150100,-0.4%,2.4%,-9.1%,n/a,"$9,260,054"
Pocketcoin,$0.810278,-0.7%,-2.2%,-1.9%,n/a,"$9,259,839"
Mute,$0.295859,-1.2%,3.8%,-3.9%,n/a,"$9,247,819"
governance ZIL,$16.47,-0.2%,1.1%,4.1%,n/a,"$9,221,957"
Earthcoin,$0.000717037405,-0.8%,0.5%,7.6%,n/a,"$9,218,893"
Wonderland,$10.34,-0.6%,-1.3%,-10.1%,n/a,"$9,168,056"
Shiryo,$0.000000000010,6.8%,-2.4%,-18.7%,n/a,"$9,128,918"
Banano,$0.006620566086,-0.3%,-0.1%,-9.9%,n/a,"$9,117,179"
MBD Financials,$0.000595864882,1.1%,-1.4%,-40.7%,n/a,"$9,068,893"
DEUS Finance,$74.78,-1.6%,78.2%,114.6%,n/a,"$9,064,127"
Retreeb,$0.020120630771,-1.1%,-1.9%,-34.9%,n/a,"$9,056,899"
Comdex,$0.222394,0.1%,2.6%,-14.8%,n/a,"$9,049,782"
STAKE,$4.89,-3.3%,-3.0%,-0.9%,n/a,"$9,041,653"
Dora Factory,$2.49,-0.1%,0.2%,-11.1%,n/a,"$8,978,881"
Aladdin DAO,$0.067578219020,-0.2%,-0.5%,-7.6%,n/a,"$8,908,122"
SpiceUSD,$0.962060,-0.4%,7.3%,3.3%,n/a,"$8,854,920"
ProximaX,$0.001348490764,-1.4%,6.1%,-0.9%,n/a,"$8,813,571"
Cap,$87.81,0.6%,3.3%,-35.6%,n/a,"$8,773,135"
Permission Coin,$0.000541729319,-0.3%,0.5%,-2.9%,n/a,"$8,759,957"
ParaSwap,$0.021259168902,0.0%,-0.3%,-7.6%,n/a,"$8,728,831"
Santiment Network,$0.134748,0.2%,-17.8%,-20.9%,n/a,"$8,631,872"
Ref Finance,$0.464567,-0.1%,0.9%,-20.3%,n/a,"$8,617,253"
Monavale,$824.17,2.0%,6.3%,-10.2%,n/a,"$8,612,827"
Quadrant Protocol,$0.015841675635,0.3%,2.1%,-2.5%,n/a,"$8,602,669"
Cola,$0.128217,0.7%,-0.8%,-24.4%,n/a,"$8,579,892"
Oath,$0.087575080219,-0.0%,-1.0%,-9.2%,n/a,"$8,494,267"
Guild of Guardians,$0.175856,0.1%,2.8%,-5.0%,n/a,"$8,484,021"
Steam Exchange,$0.000084166617,-1.1%,-1.4%,0.6%,n/a,"$8,462,568"
Crypto Unicorns Rainbow,$0.112542,-0.3%,1.3%,-14.5%,n/a,"$8,449,419"
DFX Finance,$0.482676,1.0%,1.5%,-5.3%,n/a,"$8,441,407"
Waltonchain,$0.288852,-0.5%,-0.9%,-2.7%,n/a,"$8,432,818"
